ORIGIN,TOTAL_FLIGHTS,TOTAL_CANCELLED,TOTAL_ARRIVED,DELAYED_FLIGHTS_W,ARR_DELAY_MIN_W,CANCEL_RATE,DELAY_RATE,AVG_ARR_DELAY_MIN
ABE,4409,25.0,4368.0,675.0,69490.0,0.005670220004536176,0.15453296703296704,15.908882783882785
ABI,1359,17.0,1341.0,182.0,14391.0,0.012509197939661517,0.13571961222967935,10.731543624161073
ABQ,23521,201.0,23273.0,4028.0,295667.0,0.008545555035925344,0.17307609676449104,12.70429252782194
ABR,725,14.0,711.0,59.0,7549.0,0.019310344827586208,0.0829817158931083,10.617440225035162
ABY,814,2.0,810.0,89.0,10796.0,0.002457002457002457,0.10987654320987654,13.328395061728395
ACK,1616,95.0,1517.0,409.0,40298.0,0.058787128712871284,0.26961107448912325,26.564271588661832
ACT,1068,22.0,1046.0,209.0,20672.0,0.020599250936329586,0.19980879541108987,19.762906309751433
ACV,1665,35.0,1625.0,320.0,33898.0,0.021021021021021023,0.19692307692307692,20.860307692307693
ACY,3033,57.0,2968.0,593.0,47366.0,0.018793273986152326,0.1997978436657682,15.9588948787062
ADK,104,8.0,96.0,17.0,1054.0,0.07692307692307693,0.17708333333333334,10.979166666666666
ADQ,790,27.0,763.0,110.0,9300.0,0.03417721518987342,0.14416775884665792,12.18872870249017
AEX,1808,23.0,1781.0,285.0,30321.0,0.012721238938053098,0.16002245929253228,17.024705221785513
AGS,3642,22.0,3619.0,649.0,59605.0,0.0060406370126304225,0.17933130699088146,16.47001934235977
AKN,215,2.0,213.0,38.0,1953.0,0.009302325581395349,0.1784037558685446,9.169014084507042
ALB,11891,200.0,11658.0,2067.0,172486.0,0.01681944327642755,0.1773031394750386,14.795505232458398
ALO,75,4.0,71.0,13.0,874.0,0.05333333333333334,0.18309859154929578,12.309859154929578
ALW,343,13.0,329.0,42.0,3323.0,0.037900874635568516,0.1276595744680851,10.100303951367781
AMA,5280,75.0,5193.0,852.0,83930.0,0.014204545454545454,0.16406701328711729,16.16214134411708
ANC,17850,202.0,17601.0,2949.0,205125.0,0.011316526610644258,0.16754729844895178,11.654167376853588
APN,451,13.0,436.0,75.0,11335.0,0.028824833702882482,0.1720183486238532,25.99770642201835
ASE,6591,507.0,6042.0,1739.0,164104.0,0.07692307692307693,0.28781860311155244,27.160542866600462
ATL,336463,2768.0,332935.0,62576.0,4341961.0,0.008226758960123402,0.1879526033610164,13.041467553726703
ATW,4916,52.0,4857.0,940.0,90716.0,0.010577705451586655,0.1935351039736463,18.677372863907763
AUS,92813,1174.0,91447.0,18283.0,1416208.0,0.012649090105911887,0.19993001410653166,15.486653471409669
AVL,11211,126.0,11056.0,2304.0,202219.0,0.01123896173401124,0.20839363241678727,18.29043053545586
AVP,2043,27.0,2009.0,373.0,41331.0,0.013215859030837005,0.18566450970632156,20.572921851667495
AZA,5451,29.0,5403.0,995.0,75137.0,0.005320124747752706,0.18415694984268,13.906533407366277
AZO,864,6.0,858.0,100.0,10742.0,0.006944444444444444,0.11655011655011654,12.51981351981352
BDL,21658,269.0,21340.0,4296.0,372753.0,0.01242035275648721,0.2013120899718838,17.467338331771323
BET,722,20.0,702.0,244.0,13306.0,0.027700831024930747,0.3475783475783476,18.954415954415953
BFF,607,20.0,586.0,65.0,6290.0,0.032948929159802305,0.11092150170648464,10.733788395904437
BFL,2617,24.0,2588.0,452.0,43103.0,0.009170806266717615,0.17465224111282843,16.654945904173108
BGM,657,25.0,631.0,110.0,11422.0,0.0380517503805175,0.17432646592709986,18.101426307448495
BGR,4715,180.0,4526.0,817.0,74319.0,0.03817603393425239,0.18051259390190014,16.42045956694653
