ROUTE,TOTAL_FLIGHTS,TOTAL_CANCELLED,TOTAL_ARRIVED,DELAYED_FLIGHTS_W,ARR_DELAY_MIN_W,CANCEL_RATE,DELAY_RATE,AVG_ARR_DELAY_MIN
ABE-ATL,994,3.0,989.0,132.0,13612.0,0.0030181086519114686,0.13346814964610718,13.7633973710819
ABE-BNA,139,1.0,138.0,26.0,2015.0,0.007194244604316547,0.18840579710144928,14.601449275362318
ABE-CLT,1098,9.0,1083.0,115.0,11136.0,0.00819672131147541,0.1061865189289012,10.282548476454293
ABE-DEN,58,1.0,57.0,9.0,612.0,0.017241379310344827,0.15789473684210525,10.736842105263158
ABE-FLL,95,2.0,93.0,34.0,3998.0,0.021052631578947368,0.3655913978494624,42.98924731182796
ABE-MLB,13,0.0,13.0,1.0,27.0,0.0,0.07692307692307693,2.076923076923077
ABE-MYR,161,0.0,161.0,9.0,408.0,0.0,0.055900621118012424,2.5341614906832297
ABE-ORD,674,6.0,663.0,159.0,20955.0,0.008902077151335312,0.2398190045248869,31.60633484162896
ABE-PGD,204,2.0,202.0,39.0,3070.0,0.00980392156862745,0.19306930693069307,15.198019801980198
ABE-PIE,255,0.0,255.0,39.0,3340.0,0.0,0.15294117647058825,13.098039215686274
ABE-SFB,614,1.0,610.0,97.0,9118.0,0.0016286644951140066,0.15901639344262294,14.947540983606558
ABE-SRQ,104,0.0,104.0,15.0,1199.0,0.0,0.14423076923076922,11.528846153846153
ABI-DFW,1359,17.0,1341.0,182.0,14391.0,0.012509197939661517,0.13571961222967935,10.731543624161073
ABQ-ATL,1001,5.0,996.0,103.0,8101.0,0.004995004995004995,0.10341365461847389,8.133534136546185
ABQ-AUS,1250,13.0,1237.0,239.0,12959.0,0.0104,0.19320937752627323,10.476151980598221
ABQ-BUR,355,2.0,350.0,73.0,4156.0,0.005633802816901409,0.20857142857142857,11.874285714285714
ABQ-BWI,167,1.0,166.0,56.0,2629.0,0.005988023952095809,0.3373493975903614,15.837349397590362
ABQ-DAL,1725,20.0,1697.0,279.0,17634.0,0.011594202898550725,0.164407778432528,10.391278727165586
ABQ-DEN,2764,43.0,2714.0,526.0,38570.0,0.015557163531114327,0.19380987472365513,14.211495946941783
ABQ-DFW,2255,30.0,2219.0,465.0,45315.0,0.013303769401330377,0.2095538530869761,20.421360973411446
ABQ-EWR,11,0.0,11.0,2.0,79.0,0.0,0.18181818181818182,7.181818181818182
ABQ-HOU,940,2.0,933.0,122.0,6578.0,0.002127659574468085,0.1307609860664523,7.05037513397642
ABQ-IAD,11,0.0,11.0,1.0,50.0,0.0,0.09090909090909091,4.545454545454546
ABQ-IAH,607,7.0,598.0,105.0,7641.0,0.011532125205930808,0.17558528428093645,12.777591973244148
ABQ-JFK,217,11.0,202.0,85.0,9093.0,0.05069124423963134,0.4207920792079208,45.01485148514851
ABQ-LAS,1985,19.0,1965.0,445.0,29932.0,0.009571788413098237,0.22646310432569974,15.232569974554707
ABQ-LAX,2380,0.0,2379.0,274.0,18543.0,0.0,0.11517444304329551,7.794451450189155
ABQ-LGB,109,0.0,109.0,9.0,444.0,0.0,0.08256880733944955,4.073394495412844
ABQ-MCI,245,1.0,244.0,81.0,3411.0,0.004081632653061225,0.3319672131147541,13.979508196721312
ABQ-MCO,29,0.0,29.0,5.0,436.0,0.0,0.1724137931034483,15.03448275862069
ABQ-MDW,392,6.0,384.0,61.0,4023.0,0.015306122448979591,0.15885416666666666,10.4765625
ABQ-MSP,206,3.0,203.0,19.0,1477.0,0.014563106796116505,0.09359605911330049,7.275862068965517
ABQ-OAK,299,0.0,298.0,15.0,973.0,0.0,0.050335570469798654,3.2651006711409396
ABQ-ORD,815,6.0,808.0,142.0,11317.0,0.007361963190184049,0.17574257425742573,14.006188118811881
ABQ-PDX,155,3.0,152.0,33.0,1649.0,0.01935483870967742,0.21710526315789475,10.848684210526315
ABQ-PHX,2986,13.0,2971.0,503.0,42569.0,0.004353650368385801,0.1693032648939751,14.328172332547963
ABQ-SAN,617,3.0,612.0,133.0,7164.0,0.004862236628849271,0.2173202614379085,11.705882352941176
ABQ-SAT,10,0.0,10.0,3.0,91.0,0.0,0.3,9.1
ABQ-SEA,466,4.0,461.0,89.0,5186.0,0.008583690987124463,0.19305856832971802,11.249457700650758
ABQ-SFO,478,4.0,473.0,85.0,7083.0,0.008368200836820083,0.17970401691331925,14.97463002114165
ABQ-SLC,1046,5.0,1041.0,75.0,8564.0,0.004780114722753346,0.07204610951008646,8.226705091258406
ABR-MSP,725,14.0,711.0,59.0,7549.0,0.019310344827586208,0.0829817158931083,10.617440225035162
ABY-ATL,814,2.0,810.0,89.0,10796.0,0.002457002457002457,0.10987654320987654,13.328395061728395
ACK-BOS,184,9.0,175.0,52.0,5104.0,0.04891304347826087,0.29714285714285715,29.165714285714287
ACK-CLT,10,0.0,10.0,5.0,290.0,0.0,0.5,29.0
ACK-DCA,281,15.0,263.0,66.0,5286.0,0.05338078291814947,0.2509505703422053,20.098859315589355
ACK-HPN,139,9.0,130.0,23.0,2729.0,0.06474820143884892,0.17692307692307693,20.99230769230769
ACK-JFK,444,29.0,415.0,129.0,13427.0,0.06531531531531531,0.3108433734939759,32.35421686746988
ACK-LGA,472,28.0,443.0,112.0,12206.0,0.059322033898305086,0.2528216704288939,27.553047404063207
ACK-ORD,11,0.0,11.0,6.0,199.0,0.0,0.5454545454545454,18.09090909090909
ACK-PHL,75,5.0,70.0,16.0,1057.0,0.06666666666666667,0.22857142857142856,15.1
ACT-DFW,1068,22.0,1046.0,209.0,20672.0,0.020599250936329586,0.19980879541108987,19.762906309751433
ACV-DEN,314,5.0,305.0,86.0,10424.0,0.01592356687898089,0.2819672131147541,34.17704918032787
ACV-LAX,354,5.0,349.0,40.0,4046.0,0.014124293785310734,0.11461318051575932,11.593123209169054
ACV-SFO,997,25.0,971.0,194.0,19428.0,0.025075225677031094,0.19979402677651906,20.00823892893924
ACY-FLL,523,8.0,513.0,156.0,10604.0,0.015296367112810707,0.30409356725146197,20.67056530214425
ACY-MCO,1001,17.0,980.0,223.0,19182.0,0.016983016983016984,0.22755102040816327,19.573469387755104
ACY-MYR,308,2.0,305.0,40.0,3079.0,0.006493506493506494,0.13114754098360656,10.095081967213115
ACY-PBI,366,7.0,358.0,50.0,3860.0,0.01912568306010929,0.13966480446927373,10.782122905027933
ACY-RSW,396,11.0,385.0,30.0,2784.0,0.027777777777777776,0.07792207792207792,7.231168831168831
ACY-TPA,439,12.0,427.0,94.0,7857.0,0.02733485193621868,0.22014051522248243,18.40046838407494
ADK-ANC,104,8.0,96.0,17.0,1054.0,0.07692307692307693,0.17708333333333334,10.979166666666666
ADQ-ANC,790,27.0,763.0,110.0,9300.0,0.03417721518987342,0.14416775884665792,12.18872870249017
AEX-ATL,729,4.0,723.0,78.0,8849.0,0.0054869684499314125,0.1078838174273859,12.239280774550483
AEX-DFW,1079,19.0,1058.0,207.0,21472.0,0.017608897126969416,0.1956521739130435,20.294896030245745
AGS-ATL,2031,7.0,2024.0,278.0,33355.0,0.0034465780403741997,0.1373517786561265,16.479743083003953
AGS-AUS,3,0.0,3.0,0.0,2.0,0.0,0.0,0.6666666666666666
AGS-BOS,7,0.0,7.0,2.0,84.0,0.0,0.2857142857142857,12.0
AGS-CLT,793,2.0,791.0,187.0,13068.0,0.0025220680958385876,0.23640960809102401,16.520859671302148
AGS-DCA,364,10.0,354.0,93.0,6242.0,0.027472527472527472,0.2627118644067797,17.63276836158192
